iter	Passed	Remaining
0	52	13105
1	95	11868
2	135	11134
3	175	10773
4	217	10680
5	256	10446
6	294	10224
7	335	10139
8	378	10137
9	416	10005
10	455	9890
11	492	9770
12	533	9721
13	572	9653
14	618	9696
15	657	9619
16	697	9566
17	735	9478
18	775	9424
19	815	9378
20	860	9385
21	899	9326
22	940	9278
23	979	9224
24	1020	9183
25	1060	9134
26	1102	9104
27	1143	9065
28	1183	9016
29	1225	8983
30	1265	8937
31	1310	8930
32	1356	8917
33	1396	8872
34	1434	8814
35	1490	8862
36	1532	8821
37	1574	8783
38	1631	8827
39	1676	8803
40	1730	8820
41	1768	8760
42	1809	8709
43	1851	8670
44	1891	8614
45	1954	8668
46	2013	8694
47	2056	8652
48	2100	8614
49	2146	8585
50	2191	8549
51	2233	8503
52	2286	8498
53	2343	8505
54	2386	8459
55	2440	8456
56	2478	8390
57	2516	8332
58	2556	8275
59	2600	8233
60	2640	8181
61	2680	8127
62	2718	8069
63	2785	8095
64	2823	8034
65	2865	7988
66	2918	7972
67	2957	7916
68	2995	7858
69	3034	7803
70	3072	7746
71	3114	7699
72	3155	7651
73	3196	7602
74	3237	7553
75	3277	7504
76	3320	7459
77	3364	7418
78	3404	7368
79	3444	7319
80	3486	7273
81	3526	7224
82	3567	7177
83	3618	7151
84	3659	7103
85	3698	7053
86	3741	7009
87	3781	6960
88	3825	6919
89	3868	6876
90	3908	6829
91	3947	6780
92	3987	6731
93	4023	6677
94	4064	6631
95	4108	6591
96	4149	6545
97	4188	6496
98	4229	6450
99	4269	6404
100	4312	6361
101	4360	6326
102	4401	6281
103	4439	6232
104	4488	6198
105	4527	6151
106	4572	6110
107	4620	6075
108	4664	6033
109	4705	5988
110	4745	5942
111	4786	5897
112	4830	5856
113	4876	5818
114	4917	5772
115	4960	5730
116	5006	5690
117	5053	5653
118	5120	5636
119	5177	5609
120	5219	5565
121	5277	5537
122	5323	5496
123	5367	5454
124	5412	5412
125	5453	5366
126	5494	5321
127	5531	5272
128	5572	5226
129	5655	5220
130	5699	5177
131	5748	5139
132	5792	5095
133	5834	5051
134	5873	5003
135	5916	4959
136	5956	4913
137	5999	4869
138	6040	4823
139	6082	4778
140	6121	4732
141	6165	4689
142	6210	4646
143	6254	4603
144	6305	4566
145	6369	4537
146	6417	4496
147	6467	4457
148	6529	4425
149	6586	4390
150	6627	4345
151	6670	4300
152	6712	4255
153	6757	4212
154	6801	4168
155	6843	4123
156	6887	4079
157	6932	4036
158	6978	3993
159	7022	3950
160	7081	3914
161	7146	3882
162	7196	3840
163	7239	3796
164	7280	3750
165	7337	3712
166	7381	3668
167	7425	3624
168	7501	3595
169	7541	3548
170	7585	3504
171	7629	3460
172	7671	3414
173	7712	3368
174	7756	3324
175	7812	3284
176	7859	3241
177	7902	3196
178	7949	3153
179	7994	3109
180	8041	3065
181	8087	3021
182	8128	2975
183	8170	2930
184	8213	2885
185	8254	2840
186	8295	2794
187	8337	2749
188	8399	2710
189	8450	2668
190	8493	2623
191	8536	2578
192	8581	2534
193	8623	2489
194	8668	2445
195	8715	2401
196	8774	2360
197	8818	2316
198	8862	2271
199	8905	2226
200	8951	2182
201	8993	2136
202	9067	2099
203	9110	2054
204	9151	2008
205	9203	1965
206	9247	1920
207	9289	1875
208	9330	1830
209	9372	1785
210	9415	1740
211	9478	1699
212	9524	1654
213	9565	1609
214	9616	1565
215	9666	1521
216	9715	1477
217	9758	1432
218	9822	1390
219	9865	1345
220	9913	1300
221	9957	1255
222	9996	1210
223	10038	1165
224	10102	1122
225	10160	1078
226	10201	1033
227	10251	989
228	10294	944
229	10343	899
230	10393	854
231	10459	811
232	10500	766
233	10541	720
234	10583	675
235	10625	630
236	10679	585
237	10728	540
238	10776	496
239	10833	451
240	10876	406
241	10918	360
242	10960	315
243	11013	270
244	11055	225
245	11100	180
246	11165	135
247	11210	90
248	11254	45
249	11300	0
